last_name, first_name,player_id,year,xslg被長打率,exit_velocity_avg擊球初速,launch_angle_avg擊球仰角,hard_hit_percent強擊球率,z_swing_miss_percent揮空率,groundballs_percent滾地球比,flyballs_percent飛球比,ff_avg_spin轉速
Machado, Andres,600921,2021,0.352,89.1,11.4,36.5,17,44.2,26,2105
Faria, Jake,607188,2021,0.418,90.1,14.8,40.2,16.3,41.1,32.7,2105
Long, Sam,669674,2021,0.399,88.7,15.1,36.7,14.3,39.2,35.8,2104
Dugger, Robert,667498,2021,0.463,91.2,16.2,40.9,19,37.5,23.9,2103
Colome, Alex,517008,2021,0.446,90.6,4.4,41.5,16.1,54.1,21.5,2100
Houck, Tanner,656557,2021,0.337,87.2,10,35.1,20.2,49.1,20.5,2099
Senzatela, Antonio,622608,2021,0.415,90.4,8.1,42.7,13.8,52.3,19.8,2096
Walker, Taijuan,592836,2021,0.443,89.1,12.4,39.4,19.2,43.2,28.1,2094
Almonte, Yency,622075,2021,0.433,87.3,13.9,35,14.4,43.1,26.3,2094
Wacha, Michael,608379,2021,0.499,89.9,13.3,43,16.1,42.5,25.8,2091
Santana, Edgar,650828,2021,0.426,88.1,7.8,39.2,17.4,50.8,20,2090
Nolin, Sean,543594,2021,0.375,89,14.9,40.9,14,37.5,31.8,2087
Hess, David,605276,2021,0.623,94.7,21.2,50,20,25,44.4,2085
Sandoval, Patrick,663776,2021,0.342,85.4,6.3,35.4,24.3,51.1,20.1,2080
Romano, Sal,607219,2021,0.518,89.4,12.3,41.6,9.9,40.4,30.3,2078
Marquez, German,608566,2021,0.39,88.9,5.2,39.3,16.3,52.8,20.5,2078
Rogers, Josh,642028,2021,0.492,89.6,17.8,42.5,9.5,31.9,32.7,2078
Detmers, Reid,672282,2021,0.475,88.8,18.4,33.3,21.9,34.8,31.9,2078
Dobnak, Randy,677976,2021,0.554,91.7,2.3,55.6,5.5,56.7,15.5,2075
Castellanos, Humberto,528748,2021,0.413,87.9,13.2,34.2,13.3,43.6,28.2,2074
Bubic, Kris,663460,2021,0.456,88.8,9.1,39.6,16.6,47.3,22.3,2073
Neidert, Nick,663734,2021,0.44,88.9,17.9,36.1,17.6,36.1,31.5,2071
